Sequence,Continent
LC172582,Asia
LC172542,Asia
JN706527,Asia
LC172519,Asia
LC172522,Asia
LC172523,Asia
LC172515,Asia
LC172540,Asia
LC465255,Asia
LC172551,Asia
LC463273,Asia
LC463284,Asia
LC105246,Asia
LC260228,Asia
LC260227,Asia
LC469336,Asia
LC260229,Asia
LC469335,Asia
LC260221,Asia
LC260225,Asia
LC260223,Asia
LC469330,Asia
LC469327,Asia
LC469326,Asia
LC469329,Asia
LC260220,Asia
LC260222,Asia
LC542570,Asia
LC477395,Asia
LC542361,Asia
LC542214,Asia
LC542350,Asia
LC542203,Asia
LC542241,Asia
LC542559,Asia
LC542449,Asia
LC546071,Asia
LC542548,Asia
LC542225,Asia
LC477396,Asia
LC463295,Asia
LC172500,Asia
LC469331,Asia
LC477381,Asia
LC477388,Asia
LC477386,Asia
LC491463,Asia
LC469328,Asia
LC469325,Asia
LC542093,Asia
LC542082,Asia
LC542115,Asia
LC542071,Asia
LC542126,Asia
LC542038,Asia
LC542170,Asia
LC541983,Asia
LC541961,Asia
LC541950,Asia
LC542005,Asia
LC105381,Asia
LC557822,Asia
LC491452,Asia
LC172520,Asia
LC172531,Asia
LC172545,Asia
LC172499,Asia
LC172513,Asia
LC172509,Asia
LC172492,Asia
LC172507,Asia
JN706518,Asia
JN706519,Asia
KF372017,Asia
LC172580,Asia
LC105337,Asia
LC105304,Asia
LC105271,Asia
LC105261,Asia
LC105348,Asia
LC172566,Asia
LC172569,Asia
LC172559,Asia
LC172563,Asia
LC172575,Asia
LC172552,Asia
LC172571,Asia
LC172557,Asia
LC172560,Asia
LC172561,Asia
LC172567,Asia
LC172570,Asia
LC172565,Asia
LC172554,Asia
LC172573,Asia
LC172574,Asia
LC172568,Asia
LC172578,Asia
LC172576,Asia
LC172577,Asia
LC172553,Asia
LC172579,Asia
LC172475,Asia
LC569559,Asia
LC569557,Asia
JN849127,Europe
LC172564,Asia
LC491539,Asia
MN478750,North America
MN478749,North America
LC546073,Asia
LC172581,Asia
KF371876,Asia
LC477408,Asia
KF371887,Asia
KF371940,Asia
MN106118,Asia
LC546072,Asia
LC172633,Asia
MN478704,North America
LC105401,Asia
KF371984,Asia
LC105413,Asia
LC105045,Asia
LC105012,Asia
LC105215,Asia
KF371843,Asia
MN478763,North America
KF371832,Asia
LC172610,Asia
LC172612,Asia
LC172616,Asia
LC172626,Asia
LC172624,Asia
LC172623,Asia
LC172621,Asia
LC172620,Asia
LC477407,Asia
LC477401,Asia
MN106121,Asia
LC568963,Asia
LC491560,Asia
MZ165473,Asia
MN106119,Asia
MZ165474,Asia
MZ165475,Asia
MZ165476,Asia
MZ165477,Asia
MZ165470,Asia
MZ165478,Asia
MZ165471,Asia
MZ165472,Asia
LC477403,Asia
LC477402,Asia
MN106120,Asia
MN106122,Asia
LC568952,Asia
MN478744,North America
MZ165479,Asia
MZ165480,Asia
MN106123,Asia
LC477380,Asia
LC568961,Asia
LC568959,Asia
LC568946,Asia
LC568954,Asia
LC568969,Asia
LC568933,Asia
LC568968,Asia
LC568951,Asia
LC568936,Asia
LC568940,Asia
LC568950,Asia
LC568935,Asia
LC568965,Asia
LC568939,Asia
LC568944,Asia
LC568967,Asia
LC568943,Asia
LC568958,Asia
LC568923,Asia
LC568979,Asia
JQ069637,North America
JF766581,Asia
EF059923,Asia
HM467808,Asia
JQ069661,North America
KU738597,Asia
HQ702254,North America
HQ702210,North America
HQ702232,North America
HQ702243,North America
HQ702221,North America
JQ069700,North America
EU839961,Asia
MN632762,Africa
MN632740,Africa
MN632707,Africa
MN632718,Africa
MN632696,Africa
MN632685,Africa
MN632751,Africa
MN632729,Africa
MN632970,Africa
JQ069653,North America
JN849121,Europe
JN849147,Europe
MT163246,Africa
MT163257,Africa
EU839957,Asia
HM467807,Asia
JN706521,Asia
JQ069666,North America
JN706522,Asia
JQ069648,North America
JQ069628,North America
JQ069629,North America
JQ069647,North America
JQ069646,North America
JQ069626,North America
JQ069630,North America
JN849131,Europe
JQ069636,North America
JQ069645,North America
JQ069624,North America
JQ069635,North America
JQ069702,North America
JQ069697,North America
KM660336,Africa
KM660338,Africa
KM660355,Africa
KM660334,Africa
KM660328,Africa
KM660333,Africa
KM660337,Africa
KM660332,Africa
KM660329,Africa
KM660330,Africa
KM660331,Africa
KM660353,Africa
KM660335,Africa
LC464113,Asia
LC464102,Asia
LC172466,Asia
LC468216,Asia
LC172478,Asia
LC468227,Asia
LC172617,Asia
LC172618,Asia
LC172615,Asia
LC172609,Asia
LC172611,Asia
LC172622,Asia
LC172613,Asia
LC172608,Asia
LC172614,Asia
LC105193,Asia
LC105204,Asia
KF907291,South America
JQ069671,North America
JQ069665,North America
EU679399,Asia
EU679396,Asia
JN887809,Asia
EU679395,Asia
EU679397,Asia
JN849115,Europe
JQ069631,North America
MN632773,Africa
MN632784,Africa
MN632948,Africa
MN632926,Africa
MN632915,Africa
MN632959,Africa
MN632937,Africa
MH291320,Africa
JQ069670,North America
MH291321,Africa
MH291316,Africa
JQ069691,North America
JN849153,Europe
EU839960,Asia
GU199506,Asia
EU839959,Asia
EU839962,Asia
EU839956,Asia
EU839958,Asia
EU839954,Asia
EU839955,Asia
JQ069696,North America
KF371929,Asia
JQ069687,North America
JQ069676,North America
AB714261,Asia
JQ069673,North America
JQ069679,North America
JQ069664,North America
MN478696,North America
JN849145,Europe
EU679398,Asia
GQ453420,Europe
JQ069681,North America
KF371777,Asia
JQ087437,Asia
MT633431,South America
JQ069682,North America
JQ069685,North America
KF371865,Asia
LC172584,Asia
MF580859,Asia
LC172639,Asia
JQ069657,North America
LC172640,Asia
MF580858,Asia
LC105512,Asia
LC105468,Asia
LC105523,Asia
LC172596,Asia
JQ087448,Asia
LC172637,Asia
MF580857,Asia
JQ087426,Asia
KF371744,Asia
GQ453419,Europe
KF372006,Asia
JN706528,Asia
JQ248941,Europe
LC172638,Asia
LC019099,Asia
LC019066,Asia
LC019044,Asia
LC019088,Asia
LC019077,Asia
JQ069621,North America
JQ069632,North America
JQ069680,North America
JQ069669,North America
JQ069627,North America
KF371854,Asia
MF580854,Asia
MF580860,Asia
LC172505,Asia
LC172537,Asia
LC172625,Asia
JN849139,Europe
KF726045,Asia
LC172646,Asia
LC172645,Asia
MF580856,Asia
KF371951,Asia
LC172588,Asia
LC172601,Asia
LC172593,Asia
LC172598,Asia
LC172605,Asia
JQ069660,North America
JQ069642,North America
JQ069622,North America
JQ069641,North America
JQ069623,North America
JQ069656,North America
JF766603,Asia
KF371722,Asia
KF371973,Asia
KF371962,Asia
KF371898,Asia
KF371711,Asia
EU679400,Asia
MT633433,South America
MT633426,South America
MT633417,South America
MT633420,South America
MT633415,South America
MT633444,South America
MT633428,South America
MT633435,South America
MT633437,South America
MT633442,South America
MT633355,South America
MT633353,South America
MT633354,South America
KP007145,Asia
KP007147,Asia
JQ069690,North America
JQ069686,North America
JQ069688,North America
JQ069689,North America
JQ069692,North America
KF371821,Asia
KF371810,Asia
JN706524,Asia
JN706523,Asia
JN706525,Asia
JN706526,Asia
JQ289097,Europe
KF371788,Asia
KF371918,Asia
KF371755,Asia
KF371766,Asia
KF371799,Asia
KF371691,Asia
KF371908,Asia
KF371733,Asia
KF371670,Asia
KT695107,North America
KT695118,North America
KT695140,North America
JN706520,Asia
MN478773,North America
MN478784,North America
MN478691,North America
MN478659,North America
MN478669,North America
LC477393,Asia
MG652335,North America
MG652340,North America
MG652330,North America
MG652336,North America
MN633047,Africa
MN632992,Africa
MN632674,Africa
MN633036,Africa
MN633003,Africa
MN478699,North America
MN478698,North America
MN478697,North America
MN478805,North America
MN478653,North America
MN478670,North America
MN478673,North America
MN478661,North America
MN478675,North America
MN478676,North America
MN478804,North America
MN478662,North America
MN478668,North America
MN478683,North America
MN478693,North America
MN478692,North America
MN478672,North America
MN478679,North America
MN478678,North America
MN478677,North America
MN478664,North America
MN478663,North America
MN478674,North America
MN478684,North America
MN478658,North America
MN478671,North America
MG652342,North America
MN478660,North America
MN478667,North America
MN478665,North America
MN478803,North America
MN478685,North America
MN478681,North America
MN478680,North America
MN632839,Africa
MN632795,Africa
MN633014,Africa
MN478682,North America
MN632981,Africa
MN633058,Africa
MN632828,Africa
MN632850,Africa
MN632882,Africa
MN632871,Africa
MN632861,Africa
MN632817,Africa
MN478666,North America
MN632806,Africa
LC546078,Asia
MH291318,Africa
MH291323,Africa
MH291324,Africa
MH291317,Africa
MH291322,Africa
MN633025,Africa
MH291325,Africa
MN632893,Africa
MH291326,Africa
MH291319,Africa
MN414262,Asia
MN414261,Asia
MN414268,Asia
MN414263,Asia
MN414267,Asia
MN414264,Asia
MN414266,Asia
MN414265,Asia
LC430885,Asia
LC430883,Asia
KM660343,Africa
HM467805,Asia
JN849117,Europe
KU738599,Asia
HM467803,Asia
HM467806,Asia
JQ069655,North America
HM467804,Asia
AB861959,Africa
MT633364,South America
MN478755,North America
MN478756,North America
MN478753,North America
MN478761,North America
MN478721,North America
MN478706,North America
MH169520,North America
MH169508,North America
MH169510,North America
MH169509,North America
MN478655,North America
MN478733,North America
MN478732,North America
MN478737,North America
MH169507,North America
MH169505,North America
MH169506,North America
MH169518,North America
MH169519,North America
MH169513,North America
MH169516,North America
MH169514,North America
MH169515,North America
MN478798,North America
MH169511,North America
MN478736,North America
MT633446,South America
MT633371,South America
MN478740,North America
MN478735,North America
MN478722,North America
MN478747,North America
MT633386,South America
MT633379,South America
MT633380,South America
MT633421,South America
MT633362,South America
MT633439,South America
MT633441,South America
MT633424,South America
MT633423,South America
MT633419,South America
MT633425,South America
MT633432,South America
MT633382,South America
MT633408,South America
MT633443,South America
MT633427,South America
MT633438,South America
MT633430,South America
MT633436,South America
MT633434,South America
MT633445,South America
MT633429,South America
MT633385,South America
MN478741,North America
MT633405,South America
MT633422,South America
MN478800,North America
MT633377,South America
MT633387,South America
MT633440,South America
MT633397,South America
MT633418,South America
MT633351,South America
MT633352,South America
MT633388,South America
MT633361,South America
MT633369,South America
MT633357,South America
MT633373,South America
MT633358,South America
MT633359,South America
MT633375,South America
MT633376,South America
MT633367,South America
MT633360,South America
MT633383,South America
MT633368,South America
MT633356,South America
MT633384,South America
MT633406,South America
MT633410,South America
MT633407,South America
MT633396,South America
MT633411,South America
MT633400,South America
MT633390,South America
MT633412,South America
MT633391,South America
MT633413,South America
MT633402,South America
MT633399,South America
MT633414,South America
MT633389,South America
MT633403,South America
MT633404,South America
MT633393,South America
MT633416,South America
MT633394,South America
MT633365,South America
MT633366,South America
MT633372,South America
MT633363,South America
MT633374,South America
MT633381,South America
MT633378,South America
MT633370,South America
MT633395,South America
MT633401,South America
MT633409,South America
MT633398,South America
MT633392,South America
GQ452949,Europe
GQ452950,Europe
GQ452951,Europe
GQ453418,Europe
HQ738572,Europe
JQ069698,North America
JQ069654,North America
EU984107,Asia
EU984106,Asia
KY497543,Asia
MG652331,North America
MG652332,North America
LC105435,Asia
JN849135,Europe
JQ069699,North America
JQ069694,North America
JQ069693,North America
JQ069658,North America
JQ069659,North America
JQ069683,North America
JQ069703,North America
JQ069695,North America
JN849141,Europe
GQ453421,Europe
JQ289101,Europe
HQ445967,Europe
JX435091,Europe
JQ613158,Europe
JX435090,Europe
JQ248946,Europe
JQ289063,Europe
JN849133,Europe
JQ248949,Europe
JQ613160,Europe
JQ289069,Europe
JX435089,Europe
JQ248951,Europe
JQ289108,Europe
JQ613159,Europe
JX156397,Europe
KC855763,Europe
FJ747616,Europe
JN849137,Europe
MG652329,North America
JQ069640,North America
MK284513,Europe
MH446399,Europe
LC172469,Asia
LC172471,Asia
LC172460,Asia
LC172459,Asia
LC172465,Asia
LC172474,Asia
LC172473,Asia
LC172476,Asia
LC172477,Asia
KF371701,Asia
KF371680,Asia
JQ069639,North America
KF371995,Asia
JQ069644,North America
AB008305,Asia
AB039940,Asia
AB039944,Asia
